Name,X,Y,Population,Distance
City223,12.82,-51.38,799172,515.05
City224,63.99,-35.03,402317,456.93
City225,-86.62,-54.27,549634,815.47
City226,-45.65,13.5,457442,123.74
City227,-112.28,86.06,58470,482.92
City228,53.7,20.98,632911,568.96
City229,-130.82,60.33,54020,674.43
City230,27.62,52.66,73363,178.62
City231,-130.56,-8.34,712261,394.01
City232,-152.48,-29.74,387276,283.3
City233,10.04,-81.78,482690,229.15
City234,-55.3,60.26,120467,639.22
City235,-144.36,-25.77,782334,219.72
City236,-24.31,70.37,511141,632.98
City237,12.8,-39.56,4299,965.12
City238,-139.49,47.63,628320,180.02
City239,146.93,85.3,934081,423.19
City240,47.42,6.6,695149,112.11
City241,-14.96,-20.9,25905,806.19
City242,-6.28,49.55,728727,397.13
City243,-80.9,7.31,418608,775.47
City244,-102.05,19.35,790806,900.68
City245,-140.35,15.21,946962,350.94
City246,-100.38,-74.04,136069,735.24
City247,65.85,72.73,489891,302.08
City248,-62.75,10.03,862089,419.35
City249,-96.29,-74.81,5772,308.61
City250,-132.26,73.87,65631,244.11
City251,50.46,-89.55,312071,246.65
City252,-67.55,-12.87,204981,849.08
City253,-76.32,-88.41,832950,602.1
City254,-3.58,-43.39,283513,275.37
City255,58.1,-20.19,321898,541.64
City256,-65.17,-64.53,456624,684.86
City257,108.61,59.57,391441,350.1
City258,152.78,19.27,554908,215.69
City259,-127.98,7.05,317041,786.23
City260,22.43,3.8,45275,807.75
City261,-151.24,71.98,45324,528.62
City262,34.24,-62.98,603274,725.18
City263,82.35,-41.3,131140,821.23
City264,-68.4,27.35,453945,760.15
City265,-16.5,42.25,298310,227.43
City266,-46.2,50.96,462586,973.65
City267,-98.9,14.4,23453,219.5
City268,-25.21,-84.17,985862,865.23
City269,98.58,-11.21,2488,341.58
City270,175.17,14.79,363982,416.97
City271,21.76,-23.16,363813,665.34
City272,-165.17,-18.01,653643,778.48
City273,17.42,-64.86,818528,132.33
City274,98.19,83.17,892877,225.29
City275,-155.59,56.1,901165,909.54
City276,95.82,4.59,610980,693.84
City277,-107.13,64.22,113484,35.2
City278,143.54,17.53,67852,410.73
City279,-0.24,-57.33,875342,301.94
City280,95.46,-31.57,181598,2.66
City281,20.38,-43.68,390178,42.82
City282,0.1,-51.11,457214,704.16
City283,-143.81,24.35,32873,781.32
City284,-1.14,80.47,745040,686.56
City285,-81.09,-63.61,645818,883.7
City286,-167.14,31.74,698129,3.12
City287,-121.8,58.75,82786,783.31
City288,2.94,9.72,223487,398.11
City289,-177.63,-75.42,71702,981.96
City290,-55.47,36.81,898717,904.98
City291,-76.67,23.25,892620,514.14
City292,-83.94,-16.02,708087,531.24
City293,111.77,12.15,410014,830.09
City294,-60.24,58.88,838324,376.08
City295,134.32,-75.11,235678,402.13
City296,159.6,-39.35,682047,12.91
City297,23.67,-25.76,870332,632.76
City298,23.93,-61.91,678933,411.53
City299,23.72,-38.23,291024,497.73
City300,128.95,-30.85,975324,324.1
City301,3.25,-22.24,526883,825.1
City302,-49.33,52.37,644536,570.07
City303,-156.33,-12.04,884131,400.19
City304,15.84,47.87,7082,67.17
City305,94.02,81.45,705462,740.03
City306,-79.86,89.61,465711,308.67
City307,-32.13,45.65,681048,371.19
City308,85.05,81.35,396875,36.68
City309,139.64,7.85,883802,811.43
City310,-156.92,32.39,214469,770.81
City311,109.46,69.38,390594,414.75
City312,132.02,-88.82,534749,631.29
City313,128.34,33.04,100138,274.51
City314,117.9,71.21,559179,576.86
City315,-137.73,-42.61,952762,286.22
City316,71.25,-7.86,94178,574.78
City317,177.33,-58.48,914974,355.76
City318,-39.78,88.12,98212,557.07
City319,-126.73,63.61,622427,293.51
City320,42.92,-9.9,147017,569.69
City321,27.49,-68.31,121549,263.31
City322,55.97,-5.04,519790,627.99
City323,84.15,8.51,342098,687.76
City324,-123.52,-64.6,641073,48.1
City325,-67.03,74.48,712655,299.04
City326,99.39,18.04,725079,817.28
City327,41.83,-51.22,74259,332.85
City328,-99.85,-24.5,885516,320.75
City329,59.44,-30.28,438913,92.05
City330,32.74,61.34,778203,1.51
City331,167.75,-76.34,734615,93.65
City332,34.78,-37.42,862242,278.93
City333,153.79,67.2,795325,49.16
City334,-35.91,-20.91,894186,84.63
City335,56.43,59.79,778164,515.73
City336,1.69,-88.32,889797,157.86
City337,-64.97,23.21,650021,21.25
City338,102.93,14.19,533192,81.4
City339,-53.9,26.93,339878,11.73
City340,144.0,23.04,546395,792.14
City341,-51.0,-74.2,714927,488.14
City342,-0.83,78.94,98512,924.79
City343,-160.7,89.39,833618,892.69
City344,-63.61,-28.92,455129,575.0
City345,43.27,48.67,888222,379.26
City346,-49.96,13.56,707680,122.99
City347,133.99,13.15,13541,568.37
City348,-137.74,78.18,318660,385.75
City349,-122.52,-33.66,751760,63.23
City350,141.2,25.93,291307,472.04
City351,61.93,-17.45,705576,817.69
City352,0.31,42.3,581469,608.78
City353,-87.98,-41.44,382170,861.68
City354,-34.94,31.93,500530,695.52
City355,82.52,72.05,816029,586.47
City356,17.86,-67.36,839107,943.72
City357,-104.37,70.38,528822,872.42
City358,35.81,25.54,62861,995.94
City359,-165.91,87.02,477494,100.23
City360,-126.07,50.0,248238,855.07
City361,-63.39,-16.43,991061,730.56
City362,-145.76,8.94,925838,509.44
City363,-128.04,-4.31,624675,379.9
City364,-91.3,-66.81,549226,406.19
City365,-52.14,43.74,8111,370.51
City366,76.4,-19.87,794940,554.46
City367,-107.88,58.9,676458,371.24
City368,-12.71,-35.76,6528,297.79
City369,24.91,-0.91,68751,916.64
City370,72.31,-8.38,916883,415.59
City371,96.46,-56.53,301535,938.1
City372,-132.29,75.6,96948,42.05
City373,79.8,-0.47,90723,805.39
City374,139.71,-47.74,8780,124.48
City375,176.41,-66.01,669548,677.12
City376,141.16,62.85,469883,490.19
City377,73.3,55.11,218802,726.4
City378,-34.08,-87.68,543372,124.18
City379,-173.2,75.85,393110,215.85
City380,34.5,-84.96,555331,442.63
City381,179.57,70.05,763471,355.34
City382,-36.76,31.35,733154,754.49
City383,-42.48,14.82,168307,178.48
City384,-86.37,-6.53,354858,452.32
City385,-105.63,-52.39,86424,38.67
City386,-118.66,73.38,778008,434.59
City387,72.06,40.52,656894,28.52
City388,-77.91,-74.72,587550,696.75
City389,-32.57,-15.66,877747,507.16
City390,153.31,66.26,784009,300.41
City391,19.47,3.2,419695,307.91
City392,-95.78,28.69,3447,376.59
City393,117.11,-9.41,995894,813.2
City394,97.61,78.69,877525,490.27
City395,-167.38,-27.61,938053,190.65
City396,29.77,60.52,26908,750.62
City397,-104.73,4.05,320117,454.58
City398,31.03,-10.46,331504,821.27
City399,23.83,-47.23,739791,877.94
City400,157.63,24.25,526631,873.34
City401,83.31,33.72,738008,515.54
City402,-95.63,-27.62,176595,506.68
City403,-34.87,-46.78,341596,384.43
City404,-71.29,-7.76,12217,617.14
City405,32.03,-72.7,64275,918.69
City406,-122.4,12.97,446552,891.22
City407,-52.05,52.23,213807,539.66
City408,114.79,-33.33,202386,301.49
City409,75.15,45.41,388335,621.35
City410,27.61,51.46,53419,431.37
City411,-29.32,25.26,265049,429.12
City412,15.94,25.98,593773,684.66
City413,-44.33,4.03,317900,971.2
City414,139.59,64.55,555933,422.52
City415,-13.71,-84.5,24077,921.28
City416,12.9,-3.41,29255,50.26
City417,-173.37,26.2,439569,201.14
City418,10.17,-80.5,933704,850.26
City419,85.35,-71.46,652446,772.75
City420,61.13,51.6,870664,114.94
City421,20.53,-85.01,383188,220.24
City422,-51.39,-51.08,779308,919.41
City423,14.01,51.88,262590,384.31
City424,56.74,-26.09,429622,776.9
City425,35.18,-1.95,438036,948.89
City426,110.81,-66.34,188907,331.14
City427,40.57,77.72,981895,673.22
City428,74.58,-25.78,295103,282.99
City429,-6.34,-41.26,705714,56.39
City430,-74.45,-51.71,285025,534.64
City431,85.99,-88.29,650787,442.55
City432,105.03,-29.13,730345,211.41
City433,66.82,70.23,951803,117.58
City434,-70.99,-49.3,312816,933.05
City435,-94.63,-62.83,488104,265.22
City436,24.54,-26.96,429492,968.81
City437,-112.53,-16.57,17234,505.58
City438,62.6,-58.8,782837,49.47
City439,37.35,-36.24,255396,977.52
City440,15.02,-34.12,105847,985.59
City441,-150.16,85.21,323174,689.18
City442,168.27,11.66,805853,786.99
City443,-4.89,-10.68,547432,328.08
City444,8.94,-1.68,771594,590.87
City445,-14.32,-1.44,258744,750.97
City446,44.53,33.02,674412,226.61
City447,-166.82,47.88,121134,36.86
City448,-13.62,-77.5,384647,892.8
City449,-27.66,37.17,855421,609.92
City450,-45.31,-11.24,404656,710.58
City451,109.99,72.34,680014,314.26
City452,-174.83,-55.86,715351,589.93
City453,-57.54,-23.68,142833,838.4
City454,69.61,-78.66,937769,666.51
City455,-158.54,-64.32,697179,428.0
City456,54.76,-89.61,261111,676.66
City457,-92.53,75.69,133918,604.91
City458,95.79,-59.86,23123,858.19
City459,-51.36,-38.43,663153,15.02
City460,20.38,-57.94,930623,23.65
City461,-57.7,9.9,167931,407.14
City462,131.54,-80.95,33151,453.23
City463,-85.16,25.23,37760,742.66
City464,72.61,-57.89,802366,895.18
City465,12.15,-57.62,784271,255.82
City466,-68.98,13.63,285209,102.33
City467,84.47,-29.95,278965,915.39
City468,28.35,-35.36,96203,187.41
City469,-67.13,-52.33,817375,425.72
City470,-89.44,-84.75,942789,43.62
City471,130.58,68.64,946493,732.01
City472,-59.38,-18.56,693770,315.21
City473,48.12,-30.94,15656,536.88
City474,142.98,-13.42,667153,432.62
City475,120.29,1.44,387866,948.47
City476,47.68,57.78,749282,490.27
City477,-80.27,50.69,649527,856.48
City478,128.97,-29.23,317318,928.22
City479,141.54,-19.45,480426,124.06
City480,-93.19,-84.18,182278,411.5
City481,-171.5,2.71,573222,732.96
City482,100.58,18.96,657129,306.36
City483,-127.34,-10.94,464232,598.09
City484,-174.25,-61.71,173292,933.71
City485,23.21,-69.28,838811,265.25
City486,75.43,87.97,190998,983.03
City487,-142.21,75.83,939896,428.33
City488,43.32,65.39,174089,955.97
City489,-24.29,9.22,884249,539.2
City490,-17.25,47.96,201434,392.1
City491,22.24,1.51,921612,602.28
City492,-163.12,40.52,478013,927.39
City493,109.8,-43.49,613956,175.51
City494,59.3,74.67,893961,820.66
City495,-19.18,18.13,618586,733.23
City496,-102.13,46.55,354893,70.97
City497,132.1,53.66,322961,483.42
City498,29.72,2.66,603666,92.4
City499,-122.55,17.41,719900,422.93
City500,109.31,44.08,163794,406.56
City501,-133.57,-4.51,126063,68.94
City502,-117.96,45.28,941173,738.08
City503,126.37,-57.57,794254,39.98
City504,-72.68,4.1,486508,581.83
City505,-111.43,-44.94,87728,969.6
City506,160.9,-50.21,35299,791.23
City507,-37.57,-52.55,434017,648.41
City508,-36.73,-28.26,990161,731.02
City509,0.64,-74.93,550849,931.3
City510,90.44,-72.85,767003,908.62
City511,34.62,-16.49,504007,90.02
City512,-105.37,32.51,451911,838.45
City513,-134.1,-75.8,73623,990.31
City514,53.07,6.89,226661,877.83
City515,-44.01,49.62,343796,275.12
City516,-126.57,15.6,493034,572.4
City517,3.3,83.61,415769,208.7
City518,-134.83,65.23,959817,509.7
City519,-41.9,12.88,194687,204.64
City520,-73.64,66.02,811931,214.77
City521,82.81,-55.66,91340,980.74
City522,108.21,-27.13,941398,586.67
City523,127.2,21.52,132808,867.43
City524,-7.15,-79.17,119570,134.31
City525,-12.93,-31.54,674929,714.47
City526,-48.82,-46.61,749811,113.87
City527,137.68,64.8,389264,208.56
City528,179.36,-44.97,670504,57.77
City529,151.37,51.33,623688,462.89
City530,-111.27,-16.17,564624,247.54
City531,-121.44,-88.08,164696,409.0
City532,-157.27,36.63,173874,544.49
City533,112.19,81.51,5706,333.04
City534,-117.65,8.91,902698,364.02
City535,8.18,-25.7,555014,257.85
City536,95.61,-42.68,993300,148.24
City537,104.7,65.47,59630,57.74
City538,146.8,-14.12,674785,287.63
City539,-138.2,-38.54,64739,377.15
City540,0.16,-64.54,390506,928.34
City541,-135.1,9.33,670848,738.77
City542,-108.22,-30.19,74659,201.62
City543,95.56,-30.14,800213,858.0
City544,18.44,62.97,411419,918.73
City545,-159.58,87.69,31848,136.11
City546,127.47,7.47,387222,757.65
City547,-174.82,21.93,447256,405.79
City548,167.58,13.28,99745,899.25
City549,19.17,-71.65,802869,746.78
City550,-56.88,-47.1,165652,73.47
City551,103.52,-15.66,173531,423.91
City552,41.95,-26.87,96890,809.81
City553,107.35,82.43,582866,297.26
City554,-147.16,-86.51,275173,917.46
City555,-7.99,74.91,932412,819.56
City556,77.14,-15.55,909796,846.75
City557,-135.51,23.81,213028,142.92
City558,-76.57,81.82,952807,823.84
City559,-10.81,79.61,355393,620.42
City560,156.62,76.66,444128,497.62
City561,160.29,-52.43,546366,560.67
City562,-105.9,-66.51,643726,717.54
City563,133.28,87.86,953548,283.26
City564,-35.86,74.41,551614,514.01
City565,-137.39,33.37,123249,673.65
City566,-39.8,-69.58,617419,630.3
City567,-6.31,-27.44,45499,887.8
City568,-143.78,-10.22,439142,255.27
City569,24.16,42.02,48602,7.3
City570,-175.74,23.16,248077,670.49
City571,-112.4,31.84,187055,264.29
City572,-76.03,-16.14,145713,44.02
City573,-65.19,11.85,721501,410.08
City574,158.32,-41.31,526954,970.15
City575,135.05,-30.85,389657,934.95
City576,74.71,-41.63,527086,307.21
City577,-110.5,65.68,923642,744.28
City578,-173.01,33.77,386286,923.91
City579,76.97,50.47,536477,144.14
City580,-110.55,54.23,44990,512.02
City581,166.08,57.59,565371,399.1
City582,-105.79,-89.59,392635,537.1
City583,-2.1,56.34,782964,706.88
City584,-72.15,20.03,312642,343.75
City585,156.86,-66.85,988982,90.79
City586,-141.31,-58.89,138987,713.96
City587,-170.23,1.87,507835,550.71
City588,13.65,89.43,120905,946.04
City589,-125.45,-46.97,52911,176.12
City590,140.16,-14.09,546940,697.09
City591,62.35,-79.03,306328,240.82
City592,-12.58,3.96,767830,471.69
City593,136.37,27.5,807415,775.59
City594,28.98,36.2,819144,60.22
City595,-110.56,20.28,4207,910.65
City596,-25.64,5.34,533064,149.43
City597,10.92,-24.0,540509,856.91
City598,30.24,46.74,987905,724.74
City599,-36.99,76.02,757909,413.32
City600,-39.86,18.24,21721,476.17
City601,0.81,37.77,815851,275.18
City602,-148.55,-33.71,581966,394.73
City603,124.16,-69.96,728424,888.77
City604,-150.53,3.93,328464,296.75
City605,16.39,-6.57,898447,513.31
City606,-170.71,-84.67,29462,763.36
City607,160.14,-70.22,704400,448.44
City608,7.33,30.1,908237,893.2
City609,144.68,-0.89,397113,78.56
City610,-129.39,-80.92,438055,559.5
City611,-15.55,67.65,228345,917.99
City612,91.08,-21.62,520157,674.65
City613,-7.89,-76.93,393670,178.83
City614,131.17,-55.46,992495,462.08
City615,157.57,68.79,987103,106.17
City616,-125.47,-87.96,35322,331.14
City617,-178.54,-74.13,674348,975.56
City618,46.3,2.15,598306,868.37
City619,109.16,49.69,304966,801.41
City620,-46.45,-3.84,226658,964.58
City621,-121.75,-79.96,806790,893.61
City622,179.33,12.03,829465,186.34
City623,-169.83,-50.47,510151,994.63
City624,-108.63,89.58,544247,943.35
City625,-109.16,-35.07,959849,774.63
City626,89.99,9.34,44078,951.96
City627,-53.3,85.38,465899,208.04
City628,-145.71,17.93,282306,171.73
City629,153.05,-36.26,304231,915.1
City630,-129.6,-57.14,871744,811.12
City631,-53.21,36.44,272912,550.86
City632,-130.34,-79.0,431476,703.09
City633,157.09,41.26,245744,774.73
City634,-172.27,-88.33,389597,493.46
City635,14.57,-58.11,795567,464.6
City636,132.19,41.96,772914,238.93
City637,68.84,48.08,729395,674.0
City638,147.49,30.99,331820,233.67
City639,126.79,33.74,927306,656.99
City640,-175.74,-57.65,52682,937.91
City641,43.79,-61.86,671429,793.33
City642,128.29,84.01,418845,475.99
City643,-30.63,-85.03,322163,984.05
City644,-75.0,25.76,456343,448.04
City645,12.69,-56.17,320944,61.48
City646,-173.46,58.84,419929,872.79
City647,157.71,-45.37,856461,711.58
City648,-158.41,25.17,97141,225.49
City649,43.78,-77.84,208464,873.4
City650,-23.89,10.28,935043,666.64
City651,137.08,37.54,116711,223.63
City652,-177.95,48.77,901322,491.09
City653,-45.0,-29.76,349792,417.57
City654,176.74,-87.85,258715,876.66
City655,-73.31,72.55,881876,323.9
City656,-136.23,-17.57,84966,472.56
City657,-5.11,-31.65,21399,341.61
City658,61.83,-49.04,982212,503.31
City659,174.03,42.9,594483,251.07
City660,57.4,-57.72,957733,64.49
City661,-68.19,-32.44,336595,752.97
City662,-43.41,19.4,787054,84.82
City663,-154.31,-61.86,332134,522.3
City664,36.98,12.17,609960,715.6
City665,57.24,12.84,747216,758.64
City666,110.28,-26.53,249737,171.68
City667,-35.42,9.85,477882,334.4
City668,73.98,-62.18,322209,763.01
City669,-146.41,6.2,840658,260.88
City670,122.71,80.2,452589,368.04
City671,-143.08,27.33,625917,741.22
City672,2.38,-22.32,222981,951.09
City673,-122.48,-80.76,262593,544.72
City674,-44.57,-28.94,52139,953.55
City675,108.08,-54.36,263153,184.92
City676,-8.81,-10.58,290580,615.9
City677,-22.62,-86.09,419218,157.92
City678,147.01,-8.1,7239,740.3
City679,-82.99,29.7,193093,771.81
City680,128.06,-72.93,184527,876.02
City681,92.7,55.3,267353,607.85
City682,68.8,44.44,561640,630.21
City683,-93.32,-34.7,512536,660.38
City684,4.07,31.08,128540,314.52
City685,-129.0,21.35,650340,497.49
City686,-1.66,-86.5,478114,439.01
City687,128.43,-14.38,119287,215.83
City688,8.72,16.23,713949,212.05
City689,162.56,7.15,448121,799.34
City690,79.35,-70.54,161298,640.12
City691,35.56,47.65,896396,505.65
City692,132.01,35.8,861492,320.73
City693,86.48,-46.66,750961,14.04
City694,-118.36,-57.28,268442,69.11
City695,-111.51,58.11,902444,968.86
City696,78.86,75.17,144292,465.03
City697,12.52,-43.92,583524,121.97
City698,129.98,-15.78,249362,988.06
City699,22.84,-83.15,976522,585.86
City700,-134.06,54.1,675914,951.21
City701,170.57,61.2,157570,146.86
City702,-53.1,-55.36,152643,700.95
City703,-24.24,33.44,44206,725.55
City704,1.77,-21.35,454334,6.47
City705,151.89,-43.93,975148,250.44
City706,77.56,11.11,435249,205.23
City707,-63.04,43.97,555605,96.54
City708,28.5,-48.97,446398,550.17
City709,127.04,-24.56,378564,611.72
City710,-1.59,62.54,445918,3.04
City711,70.75,83.24,251328,466.54
City712,-146.82,-67.53,706450,443.76
City713,-78.03,14.1,516490,797.76
City714,131.08,53.91,504814,308.63
City715,64.44,-9.24,547988,139.61
City716,-158.42,-36.11,362043,802.95
City717,-133.19,-76.5,252648,415.26
City718,135.97,57.04,967451,798.95
City719,-92.73,-26.65,539308,68.57
City720,-67.42,80.66,571308,122.17
City721,-36.44,10.36,685901,749.06
City722,-48.82,33.0,319385,5.11
City723,-47.44,26.42,408510,401.3
City724,97.75,16.01,137354,8.36
City725,-54.97,1.26,897280,926.23
City726,-100.42,-24.44,127837,281.44
City727,8.25,-30.58,478860,409.34
City728,-50.77,-41.26,397403,567.08
City729,-18.09,10.45,886187,996.1
City730,3.91,8.99,33116,708.38
City731,-119.6,-54.58,583495,817.44
City732,48.44,-57.48,573120,740.29
City733,-165.87,-67.36,956335,519.79
City734,130.94,65.71,2937,980.46
